No.,Player,Birth,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Draft,Player-additional
30,Yaroslav Askarov,ru RU,G,23,6-3,180,-/R,3,June 16 2002,1-4-1 4.69 GAA,2020 NSH 1st (11),askarya01
71,Macklin Celebrini,ca CA,F,19,6-0,190,L/-,1,June 13 2006,6 G 10 A 16 P,2024 SJS 1st (1),celebma01
10,Ty Dellandrea,ca CA,F,25,6-2,185,R/-,5,July 21 2000,0 G 4 A 4 P,2018 DAL 1st (13),dellaty01
5,Vincent Desharnais,ca CA,D,29,6-7,225,R/-,3,May 29 1996,0 G 1 A 1 P,2016 EDM 7th (183),deshavi01
6,Sam Dickinson,ca CA,D,19,6-3,200,L/-,R,June 7 2006,0 G 0 A 0 P,2024 SJS 1st (11),dickisa01
72,William Eklund,se SE,F,23,5-10,185,L/-,4,October 12 2002,4 G 6 A 10 P,2021 SJS 1st (7),eklunwi01
38,Mario Ferraro,ca CA,D,27,5-11,200,L/-,6,September 17 1998,1 G 1 A 2 P,2017 SJS 2nd (49),ferrama01
81,Adam Gaudette,us US,F,29,6-1,190,R/-,7,October 3 1996,3 G 1 A 4 P,2015 VAN 5th (149),gaudead01
54,Patrick Giles,us US,F,26,6-5,218,R/-,1,January 3 2000,,,gilespa01
23,Barclay Goodrow,ca CA,F,32,6-2,210,L/-,11,February 26 1993,0 G 1 A 1 P,,goodrba01
51,Collin Graf,us US,F,23,6-1,190,R/-,2,September 21 2002,1 G 2 A 3 P,,grafco01
22,Vincent Iorio,ca CA,D,23,6-4,220,R/-,2,November 14 2002,0 G 0 A 0 P,2021 WSH 2nd (55),ioriovi01
3,John Klingberg,se SE,D,33,6-2,185,R/-,11,August 14 1992,1 G 1 A 2 P,2010 DAL 5th (131),klingjo01
96,Philipp Kurashev,ch CH,F,26,6-0,190,L/-,5,October 12 1999,2 G 2 A 4 P,2018 CHI 4th (120),kurasph01
4,Nick Leddy,us US,D,34,6-0,205,L/-,15,March 20 1991,0 G 2 A 2 P,2009 MIN 1st (16),leddyni01
37,Timothy Liljegren,se SE,D,26,6-1,200,R/-,6,April 30 1999,0 G 1 A 1 P,2017 TOR 1st (17),liljeti01
77,Michael Misa,ca CA,F,18,6-1,185,L/-,R,February 16 2007,1 G 2 A 3 P,2025 SJS 1st (2),misami01
85,Shakir Mukhamadullin,ru RU,D,24,6-4,200,L/-,2,January 10 2002,0 G 2 A 2 P,2020 NJD 1st (20),mukhash01
33,Alex Nedeljkovic,us US,G,30,6-0,205,-/L,8,January 7 1996,1-2-1 4.00 GAA,2014 CAR 2nd (37),nedelal01
9,Dmitry Orlov,su SU,D,34,5-11,215,L/-,13,July 23 1991,0 G 8 A 8 P,2009 WSH 2nd (55),orlovdm01
75,Ryan Reaves,ca CA,F,39,6-2,225,R/-,15,January 20 1987,2 G 0 A 2 P,2005 STL 5th (156),reavery01
53,Jeff Skinner,ca CA,F,33,5-11,200,L/-,15,May 16 1992,3 G 2 A 5 P,2010 CAR 1st (7),skinnje01
2,Will Smith,us US,F,20,6-0,180,R/-,1,March 17 2005,3 G 6 A 9 P,2023 SJS 1st (4),smithwi01
73,Tyler Toffoli,ca CA,F,33,6-0,205,R/-,13,April 24 1992,3 G 2 A 5 P,2010 LAK 2nd (47),toffoty01
21,Alexander Wennberg,se SE,F,31,6-2,190,L/-,11,September 22 1994,2 G 3 A 5 P,2013 CBJ 1st (14),wennbal01